Call:,,,,
lm(formula = log(topMotifSum) ~ Length),,,,
Residuals:,,,,
Min,1Q,Median,3Q,Max
Q6P7N7,255,1,-0.259268712,
Q6P988,496,2,0.325768196,
Q6P9G9,518,3,0.721364316,
Q6PCB7,646,1,-0.434667537,
Q6PDB4,577,1,-0.403714803,
Q6PEZ8,512,2,0.31859075,
Q6PFW1,1433,3,0.310904149,
Q6PHR2,472,5,1.252825096,
Q6PI73,481,1,-0.36065013,
Q6PIJ6,1188,2,0.015343676,
Q6PIL6,250,1,-0.25702576,
Q6QEF8,472,1,-0.356612817,
Q6RFH5,385,1,-0.317585457,
Q6S8J7,498,2,0.324871015,
Q6SZW1,724,2,0.223489597,
Q6UVK1,2322,2,-0.493357776,
Q6UW68,189,1,-0.229661749,
Q6UWY5,402,1,-0.325211492,
Q6UX65,266,1,-0.264203205,
Q6UX73,402,1,-0.325211492,
Q6UXI7,678,1,-0.449022428,
Q6UXK5,716,1,-0.466068861,
Q6UY01,552,1,-0.392500044,
Q6UY14,1074,1,-0.626664205,
Q6UY18,593,4,0.975402113,
Q6WRI0,2623,3,-0.222918362,
Q6XZB0,460,1,-0.351229733,
Q6ZMD2,512,1,-0.374556431,
Q6ZMM2,481,2,0.332497051,
Q6ZMS4,543,1,-0.388462731,
Q6ZMU5,477,2,0.334291412,
Q6ZMZ0,732,2,0.219900874,
Q6ZN01,415,1,-0.331043167,
Q6ZN44,842,2,0.170555936,
Q6ZN79,300,1,-0.279455277,
Q6ZNA1,936,1,-0.564758737,
Q6ZNW5,385,2,0.375561724,
Q6ZP65,573,7,1.543989707,
Q6ZPD9,716,1,-0.466068861,
Q6ZR62,310,1,-0.283941181,
Q6ZSA7,311,1,-0.284389771,
Q6ZSB9,765,2,0.205097392,
Q6ZTQ4,885,1,-0.54188063,
Q6ZUB1,1445,2,-0.099944043,
Q6ZUV0,252,1,-0.257922941,
Q6ZW76,656,2,0.25399374,
Q702N8,1843,3,0.126982107,
Q70HW3,274,1,-0.267791928,
Q70IA6,237,1,-0.251194085,
Q70JA7,882,1,-0.540534859,
Q71DI3,136,1,-0.20588646,
Q71RC2,724,1,-0.469657584,
Q75VX8,874,1,-0.536946136,
Q76KP1,1039,1,-0.610963543,
Q76N32,757,1,-0.484461065,
Q7L2Z9,268,2,0.428046794,
Q7L4E1,593,2,0.282254932,
Q7L591,496,1,-0.367378985,
Q7L8S5,288,2,0.419074988,
Q7LBE3,791,1,-0.499713137,
Q7RTX7,472,1,-0.356612817,
Q7Z2K8,1008,1,-0.597057242,
Q7Z304,686,1,-0.452611151,
Q7Z388,723,1,-0.469208994,
Q7Z3J2,963,1,-0.576870677,
Q7Z3Z2,195,1,-0.232353291,
Q7Z404,712,1,-0.4642745,
Q7Z407,3707,2,-1.114655406,
Q7Z410,1059,1,-0.61993535,
Q7Z4G1,85,1,-0.183008353,
Q7Z5H3,698,1,-0.457994235,
Q7Z5M5,1100,1,-0.638327554,
Q7Z5W3,292,1,-0.275866554,
Q7Z794,578,2,0.288983787,
Q7Z7C7,330,1,-0.292912988,
Q7Z7G0,1075,1,-0.627112795,
Q7Z7G1,428,2,0.356272339,
Q7Z7H5,227,1,-0.246708182,
Q7Z7L1,901,5,1.060379837,
Q86SQ9,333,2,0.398888422,
Q86TP1,453,3,0.750522689,
Q86U28,154,3,0.884651202,
Q86U38,636,4,0.956112728,
Q86U44,580,1,-0.405060574,
Q86UA1,669,4,0.941309246,
Q86UN2,441,1,-0.342706516,
Q86UT5,571,1,-0.401023261,
Q86UT6,975,1,-0.582253761,
Q86UU5,652,1,-0.437359079,
Q86UW1,340,1,-0.297398891,
Q86UX7,667,1,-0.444087934,
Q86UY5,434,1,-0.339566384,
Q86V15,1759,1,-0.933948592,
Q86V71,674,1,-0.447228067,
Q86V87,743,1,-0.478180801,
Q86VH5,581,1,-0.405509164,
Q86VP3,889,1,-0.543674991,
Q86VR2,466,1,-0.353921275,
Q86VR7,867,1,-0.533806003,
Q86VW0,696,3,0.641515234,
Q86VW1,577,1,-0.403714803,
Q86VY4,417,1,-0.331940348,
Q86W28,1048,2,0.078146324,
Q86WI1,4243,2,-1.355099831,
Q86WK9,346,2,0.393056747,
Q86WN1,690,5,1.1550324,
Q86WU2,507,1,-0.372313479,
Q86X40,367,1,-0.30951083,
Q86X83,199,1,-0.234147652,
Q86XR2,697,2,0.235601536,
Q86Y25,554,1,-0.393397225,
Q86Y33,519,1,-0.377696563,
Q86Y46,540,2,0.30603022,
Q86Y56,855,3,0.570189369,
Q86Y82,276,3,0.82992318,
Q86YG4,428,1,-0.336874841,
Q86YR5,675,1,-0.447676657,
Q86YS6,212,1,-0.239979327,
Q86YV5,1406,3,0.323016089,
Q86Z20,511,2,0.31903934,
Q8IUC4,686,2,0.24053603,
Q8IUH5,632,1,-0.428387272,
Q8IUH8,684,1,-0.45171397,
Q8IUM7,802,1,-0.504647631,
Q8IUR6,639,2,0.261619776,
Q8IV36,788,2,0.194779814,
Q8IVB4,645,1,-0.434218947,
Q8IVD9,361,2,0.386327892,
Q8IVL8,374,1,-0.312650963,
Q8IVN8,264,1,-0.263306025,
Q8IVT2,679,3,0.64914127,
Q8IVT5,923,2,0.134220118,
Q8IVW6,561,2,0.296609823,
Q8IVW8,549,1,-0.391154273,
Q8IW93,802,4,0.88164673,
Q8IWF2,684,1,-0.45171397,
Q8IWF6,608,2,0.275526077,
Q8IWU6,871,3,0.563011924,
Q8IXT5,1001,3,0.504695179,
Q8IY33,904,1,-0.550403846,
Q8IYD2,350,1,-0.301884794,
Q8IYG6,542,1,-0.388014141,
Q8IYJ3,562,1,-0.396985948,
Q8IYK2,499,2,0.324422424,
Q8IYM0,893,3,0.553142936,
Q8IYM2,578,2,0.288983787,
Q8IYS4,520,1,-0.378145153,
Q8IYW5,571,3,0.697589028,
Q8IZ26,560,1,-0.396088767,
Q8IZ40,523,1,-0.379490924,
Q8IZ52,775,1,-0.492535692,
Q8IZ69,625,4,0.961047221,
Q8IZ81,293,1,-0.276315145,
Q8IZA0,1049,2,0.077697734,
Q8IZC4,609,3,0.680542595,
Q8IZD2,1858,1,-0.978359036,
Q8IZF5,1079,2,0.064240024,
Q8IZI9,196,1,-0.232801881,
Q8IZJ0,200,1,-0.234596243,
Q8IZJ1,945,1,-0.56879605,
Q8IZJ3,1885,1,-0.990470976,
Q8IZK6,566,2,0.294366871,
Q8IZQ8,938,1,-0.565655918,
Q8IZS5,231,1,-0.248502543,
Q8IZU8,1212,1,-0.688569673,
Q8N0S6,344,1,-0.299193252,
Q8N0V5,402,1,-0.325211492,
Q8N0W3,1084,2,0.061997072,
Q8N0Z3,855,5,1.081014993,
Q8N122,1335,3,0.354866003,
Q8N137,903,3,0.548657033,
Q8N140,333,1,-0.294258759,
Q8N1E2,194,1,-0.231904701,
Q8N1F8,1099,2,0.055268217,
Q8N1N4,520,1,-0.378145153,
Q8N239,644,1,-0.433770356,
Q8N264,748,2,0.212723428,
Q8N271,834,2,0.174144659,
Q8N392,663,5,1.16714434,
Q8N398,1253,1,-0.706961877,
Q8N3C7,705,2,0.232012813,
Q8N3Y1,598,2,0.28001198,
Q8N412,459,1,-0.350781142,
Q8N423,598,1,-0.4131352,
Q8N4E7,242,1,-0.253437037,
Q8N4T0,437,1,-0.340912155,
Q8N4Y2,399,2,0.369281459,
Q8N5A5,531,1,-0.383079647,
Q8N5J4,248,1,-0.256128579,
Q8N5S1,370,1,-0.310856601,
Q8N612,972,1,-0.58090799,
Q8N6L0,562,2,0.296161233,
Q8N6M0,293,5,1.333122768,
Q8N6R0,699,1,-0.458442825,
Q8N7M0,179,1,-0.225175845,
Q8N7M2,679,1,-0.449471018,
Q8N7R7,359,1,-0.305922108,
Q8N7S6,290,1,-0.274969374,
Q8N7W2,519,1,-0.377696563,
Q8N883,585,1,-0.407303526,
Q8N8A6,666,2,0.249507837,
Q8N8Y2,350,1,-0.301884794,
Q8N944,861,1,-0.531114461,
Q8N954,259,1,-0.261063073,
Q8N961,1025,2,0.088463902,
Q8N988,423,1,-0.33463189,
Q8N9K5,539,2,0.306478811,
Q8N9L9,421,1,-0.333734709,
Q8N9N2,400,1,-0.324314312,
Q8N9N5,519,1,-0.377696563,
Q8N9P0,234,1,-0.249848314,
Q8N9S9,440,1,-0.342257926,
Q8N9Z0,462,1,-0.352126913,
Q8NA31,727,1,-0.471003355,
Q8NA72,575,2,0.290329558,
Q8NB49,1132,1,-0.652682445,
Q8NBH2,561,3,0.702074931,
Q8NBM8,494,2,0.326665376,
Q8NBS3,891,2,0.148575009,
Q8NBT0,407,1,-0.327454444,
Q8NBT2,197,2,0.459896709,
Q8NBV8,401,1,-0.324762902,
Q8NC38,126,1,-0.201400557,
Q8NCL4,622,1,-0.423901369,
Q8NCR3,313,1,-0.285286952,
Q8ND61,904,1,-0.550403846,
Q8NDV7,1962,2,-0.331865252,
Q8NDZ0,799,1,-0.50330186,
Q8NE01,707,2,0.231115633,
Q8NEE8,873,1,-0.536497545,
Q8NEU8,664,1,-0.442742163,
Q8NF67,263,1,-0.262857434,
Q8NF99,534,3,0.71418687,
Q8NFF5,587,1,-0.408200707,
Q8NFH3,380,1,-0.315342505,
Q8NFW1,1626,1,-0.874286076,
Q8NFZ5,429,3,0.761288857,
Q8NG11,270,1,-0.265997567,
Q8NGF1,315,1,-0.286184132,
Q8NGJ2,320,1,-0.288427084,
Q8NGJ5,315,1,-0.286184132,
Q8NGK0,314,1,-0.285735542,
Q8NGK1,321,1,-0.288875674,
Q8NGR8,309,1,-0.28349259,
Q8NGT5,310,2,0.409206,
Q8NH60,311,2,0.40875741,
Q8NHQ8,419,2,0.360309652,
Q8NHS9,363,2,0.385430712,
Q8NHY0,566,1,-0.398780309,
Q8NHY5,278,1,-0.26958629,
Q8TAG9,804,6,1.286214658,
Q8TAM1,723,1,-0.469208994,
Q8TAT5,605,1,-0.416275333,
Q8TAV3,490,1,-0.364687443,
Q8TB22,786,5,1.111967727,
Q8TB72,1066,5,0.98636243,
Q8TBB5,520,1,-0.378145153,
Q8TBF8,368,2,0.38318776,
Q8TC21,504,1,-0.370967708,
Q8TC27,787,1,-0.497918776,
Q8TC36,379,1,-0.314893915,
Q8TC41,542,1,-0.388014141,
Q8TC76,370,1,-0.310856601,
Q8TC92,643,1,-0.433321766,
Q8TC94,416,2,0.361655423,
Q8TCT8,520,1,-0.378145153,
Q8TCX5,695,1,-0.456648464,
Q8TD17,642,1,-0.432873176,
Q8TDF6,673,3,0.651832812,
Q8TDW5,730,1,-0.472349126,
Q8TDY8,1250,2,-0.012468925,
Q8TE23,839,2,0.171901707,
Q8TE69,158,1,-0.215755448,
Q8TE77,659,1,-0.440499211,
Q8TE82,1336,1,-0.744194876,
Q8TE99,480,1,-0.360201539,
Q8TEA8,209,1,-0.238633556,
Q8TEL6,797,1,-0.502404679,
Q8TEQ8,1089,1,-0.63339306,
Q8TET4,914,2,0.138257431,
Q8TEX9,1081,1,-0.629804337,
Q8TF05,950,1,-0.571039002,
Q8TF17,1288,1,-0.722662539,
Q8TF61,875,2,0.155752454,
Q8TF63,244,1,-0.254334218,
Q8TF72,1996,1,-1.040264504,
Q8WTR7,871,1,-0.535600365,
Q8WTV0,552,1,-0.392500044,
Q8WUJ0,223,1,-0.244913821,
Q8WUQ7,758,5,1.124528257,
Q8WVB6,975,3,0.516358528,
Q8WVD3,245,2,0.438364372,
Q8WVJ9,160,1,-0.216652629,
Q8WW14,230,1,-0.248053953,
Q8WW32,186,2,0.464831203,
Q8WW33,167,1,-0.219792761,
Q8WWF5,429,1,-0.337323432,
Q8WWW0,418,2,0.360758243,
Q8WX93,1383,4,0.621015739,
Q8WXE0,1202,3,0.414528519,
Q8WXK1,588,1,-0.408649297,
Q8WXS8,1223,1,-0.693504167,
Q8WY54,764,1,-0.487601198,
Q8WY91,577,1,-0.403714803,
Q8WZ55,320,1,-0.288427084,
Q8WZA0,190,3,0.86850195,
Q902F8,699,2,0.234704355,
Q902F9,699,2,0.234704355,
Q92185,356,1,-0.304576337,
Q92484,453,1,-0.3480896,
Q92502,1023,4,0.782508264,
Q92523,772,2,0.20195726,
Q92535,297,1,-0.278109506,
Q92536,515,1,-0.375902202,
Q92543,992,3,0.508732492,
Q92556,727,5,1.138434557,
Q92565,580,2,0.288086606,
Q92610,1267,1,-0.713242142,
Q92622,972,2,0.112239191,
Q92628,1395,1,-0.770661706,
Q92636,917,1,-0.556235521,
Q92670,426,1,-0.335977661,
Q92692,538,2,0.306927401,
Q92748,146,1,-0.210372364,
Q92764,455,1,-0.348986781,
Q92769,488,2,0.329356918,
Q92786,737,2,0.217657922,
Q92832,810,1,-0.508236354,
Q92879,486,1,-0.362893082,
Q92888,912,1,-0.553992569,
Q92935,676,1,-0.448125247,
Q93084,1043,2,0.080389276,
Q93088,406,2,0.366141327,
Q969G5,261,1,-0.261960254,
Q969H4,720,1,-0.467863223,
Q969Q1,353,1,-0.303230566,
Q969T3,373,1,-0.312202372,
Q969V5,352,1,-0.302781975,
Q969W9,287,1,-0.273623603,
Q969X0,211,1,-0.239530736,
Q96A00,147,2,0.482326226,
Q96A19,550,1,-0.391602864,
Q96AC6,838,2,0.172350297,
Q96AP0,544,1,-0.388911322,
Q96AQ6,731,1,-0.472797716,
Q96BI3,265,1,-0.263754615,
Q96BN6,582,1,-0.405957755,
Q96BT7,664,2,0.250405017,
Q96BV0,537,1,-0.385771189,
Q96BZ4,506,2,0.321282292,
Q96C12,935,1,-0.564310147,
Q96C19,240,1,-0.252539856,
Q96C45,1275,2,-0.023683684,
Q96CC6,855,2,0.164724261,
Q96CM3,377,2,0.379150447,
Q96CQ1,311,1,-0.284389771,
Q96CT2,875,2,0.155752454,
Q96CX2,325,1,-0.290670036,
Q96D09,838,1,-0.520796883,
Q96D70,268,1,-0.265100386,
Q96D71,796,2,0.191191092,
Q96DA2,213,1,-0.240427917,
Q96DE9,158,1,-0.215755448,
Q96DF8,476,4,1.027887183,
Q96DG6,245,2,0.438364372,
Q96DZ1,483,1,-0.361547311,
Q96EE4,140,1,-0.207680822,
Q96EF9,292,1,-0.275866554,
Q96EG1,525,1,-0.380388105,
Q96EK2,531,1,-0.383079647,
Q96EN8,888,1,-0.543226401,
Q96EN9,201,1,-0.235044833,
Q96EP0,1072,1,-0.625767024,
Q96F44,468,2,0.338328725,
Q96FG2,381,2,0.377356085,
Q96G75,393,3,0.777438109,
Q96G97,398,1,-0.323417131,
Q96GC6,653,2,0.255339511,
Q96GX9,242,2,0.439710143,
Q96H55,970,1,-0.580010809,
Q96H79,300,1,-0.279455277,
Q96HA7,1378,6,1.028723799,
Q96HB5,630,3,0.671122197,
Q96HE7,468,1,-0.354818455,
Q96HN2,611,1,-0.418966875,
Q96HP4,312,3,0.813773927,
Q96HV5,264,1,-0.263306025,
Q96HY7,919,3,0.541479587,
Q96I13,439,1,-0.341809335,
Q96I59,477,3,0.73975652,
Q96I76,525,3,0.718224184,
Q96I82,304,1,-0.281249639,
Q96I99,432,2,0.354477978,
Q96IJ6,420,2,0.359861062,
Q96IP4,442,2,0.349992074,
Q96J94,861,1,-0.531114461,
Q96JA4,679,1,-0.449471018,
Q96JB5,506,1,-0.371864888,
Q96JC1,886,1,-0.54232922,
Q96JF0,529,1,-0.382182466,
Q96JJ3,720,5,1.14157469,
Q96JP2,1530,2,-0.138074222,
Q96JQ0,3298,1,-1.624329135,
Q96K19,258,3,0.837997806,
Q96K21,471,1,-0.356164226,
Q96K31,380,1,-0.315342505,
Q96K62,511,1,-0.37410784,
Q96K78,797,2,0.190742501,
Q96K83,1311,1,-0.732980117,
Q96KN9,370,1,-0.310856601,
Q96KR1,1074,2,0.066482975,
Q96L58,329,1,-0.292464397,
Q96LA5,508,2,0.320385111,
Q96LC7,697,1,-0.457545645,
Q96LD4,638,2,0.262068366,
Q96LK0,163,1,-0.2179984,
Q96LU7,910,1,-0.553095388,
Q96LX7,622,2,0.269245812,
Q96M86,4753,4,-0.890733727,
Q96MA6,479,2,0.333394231,
Q96MF2,364,1,-0.308165059,
Q96MH2,286,2,0.419972168,
Q96MK3,541,2,0.30558163,
Q96MR9,790,1,-0.499264547,
Q96MS0,1386,2,-0.073477212,
Q96MT1,663,1,-0.442293573,
Q96MU7,727,1,-0.471003355,
Q96N20,296,1,-0.277660916,
Q96N95,335,1,-0.295155939,
Q96NB2,322,1,-0.289324265,
Q96NG8,517,1,-0.376799382,
Q96NI8,536,1,-0.385322599,
Q96NW4,1050,2,0.077249144,
Q96P26,610,2,0.274628896,
Q96P56,530,2,0.310516124,
Q96P65,431,1,-0.338220613,
Q96P71,396,1,-0.32251995,
Q96PD6,335,1,-0.295155939,
Q96PE6,472,1,-0.356612817,
Q96Q40,435,1,-0.340014974,
Q96QD9,318,1,-0.287529903,
Q96QP1,1244,3,0.395687725,
Q96QS6,385,1,-0.317585457,
Q96RK4,519,3,0.720915726,
Q96RL6,698,2,0.235152946,
Q96RP9,751,1,-0.481769523,
Q96RR4,588,1,-0.408649297,
Q96RY7,1462,2,-0.107570079,
Q96S42,347,2,0.392608157,
Q96S44,253,1,-0.258371531,
Q96S53,571,2,0.29212392,
Q96S59,729,2,0.221246645,
Q96S79,203,1,-0.235942014,
Q96SC8,542,1,-0.388014141,
Q96SE7,839,1,-0.521245474,
Q96SF2,557,2,0.298404184,
Q96SI9,672,1,-0.446330886,
Q96SZ6,601,1,-0.414480971,
Q96T37,977,1,-0.583150941,
Q96T55,309,3,0.815119698,
Q96T76,1030,2,0.086220951,
Q99102,2169,2,-0.424723453,
Q99418,400,2,0.368832869,
Q99424,681,1,-0.450368199,
Q99466,2003,1,-1.043404637,
Q99490,1192,2,0.013549315,
Q99550,1183,1,-0.675560553,
Q99567,741,3,0.621328669,
Q99570,1358,2,-0.060916683,
Q99583,582,2,0.287189426,
Q99607,663,1,-0.442293573,
Q99640,499,1,-0.368724756,
Q99728,777,3,0.605179416,
Q99743,824,2,0.178630562,
Q99766,215,1,-0.241325098,
Q99808,456,1,-0.349435371,
Q99814,870,1,-0.535151774,
Q99836,296,1,-0.277660916,
Q99941,703,1,-0.460237187,
Q99956,384,1,-0.317136866,
Q99959,881,1,-0.540086268,
Q99962,352,3,0.795830313,
Q99965,735,1,-0.474592078,
Q9BQ39,737,2,0.217657922,
Q9BQA5,517,1,-0.376799382,
Q9BQE5,337,1,-0.29605312,
Q9BQI9,281,1,-0.270932061,
Q9BQS7,1158,2,0.028801386,
Q9BR76,489,2,0.328908328,
Q9BRG2,576,1,-0.403266213,
Q9BRJ7,211,1,-0.239530736,
Q9BRL7,303,2,0.412346132,
Q9BRP1,358,3,0.793138771,
Q9BRP4,392,2,0.372421592,
Q9BRP7,624,2,0.268348631,
Q9BRR9,750,1,-0.481320933,
Q9BRX2,385,1,-0.317585457,
Q9BSB4,218,1,-0.242670869,
Q9BSI4,451,1,-0.347192419,
Q9BSR8,244,1,-0.254334218,
Q9BST9,563,1,-0.397434538,
Q9BSW2,395,3,0.776540929,
Q9BT56,116,1,-0.196914654,
Q9BT78,406,2,0.366141327,
Q9BTV7,478,1,-0.359304359,
Q9BUG6,496,1,-0.367378985,
Q9BUY5,554,1,-0.393397225,
Q9BV23,337,2,0.397094061,
Q9BVL4,669,1,-0.444985115,
Q9BVV7,248,1,-0.256128579,
Q9BVW5,301,3,0.818708421,
Q9BW27,656,2,0.25399374,
Q9BWG6,230,1,-0.248053953,
Q9BWS9,393,1,-0.321174179,
Q9BWV1,1114,2,0.048539362,
Q9BXB4,747,1,-0.479975162,
Q9BXF3,1484,3,0.288026042,
Q9BXL6,1004,1,-0.595262881,
Q9BXM9,530,1,-0.382631057,
Q9BY31,904,1,-0.550403846,
Q9BYC9,149,1,-0.211718135,
Q9BYE9,1310,2,-0.039384346,
Q9BYI3,521,1,-0.378593744,
Q9BYT8,704,1,-0.460685777,
Q9BZ11,813,1,-0.509582125,
Q9BZ81,275,1,-0.268240519,
Q9BZE9,553,2,0.300198546,
Q9BZJ3,242,1,-0.253437037,
Q9BZJ4,359,1,-0.305922108,
Q9C073,453,1,-0.3480896,
Q9C0C2,1729,2,-0.227343701,
Q9C0E2,1151,3,0.437406627,
Q9C0H5,1083,1,-0.630701518,
Q9C0H6,718,2,0.226181139,
Q9C0I9,530,2,0.310516124,
Q9C0K7,418,1,-0.332388938,
Q9GZM3,115,1,-0.196466063,
Q9GZM5,350,1,-0.301884794,
Q9GZQ3,224,1,-0.245362411,
Q9GZQ8,125,1,-0.200951967,
Q9GZS3,305,1,-0.281698229,
Q9H089,658,1,-0.440050621,
Q9H091,742,1,-0.47773221,
Q9H0D6,950,2,0.122108178,
Q9H0H0,1204,4,0.701313411,
Q9H0R5,595,3,0.686822859,
Q9H0R6,528,2,0.311413304,
Q9H0U9,437,1,-0.340912155,
Q9H0V9,348,1,-0.300987614,
Q9H0W8,520,1,-0.378145153,
Q9H1A7,115,1,-0.196466063,
Q9H1R3,596,1,-0.41223802,
Q9H1U9,297,2,0.415037674,
Q9H1Z4,485,1,-0.362444491,
Q9H222,651,5,1.172527424,
Q9H269,839,3,0.577366815,
Q9H2B4,701,2,0.233807175,
Q9H2F3,369,1,-0.310408011,
Q9H2K0,278,1,-0.26958629,
Q9H2S5,420,1,-0.333286119,
Q9H2X0,955,2,0.119865227,
Q9H307,717,6,1.325242018,
Q9H324,1103,1,-0.639673325,
Q9H334,677,1,-0.448573838,
Q9H339,312,1,-0.284838361,
Q9H340,312,1,-0.284838361,
Q9H3D4,680,2,0.243227572,
Q9H3Z7,469,2,0.337880135,
Q9H488,388,1,-0.318931228,
Q9H4A9,486,2,0.330254099,
Q9H4B4,646,1,-0.434667537,
Q9H4D0,955,2,0.119865227,
Q9H4M3,255,1,-0.259268712,
Q9H4P4,317,2,0.406065867,
Q9H4Q3,707,1,-0.462031548,
Q9H521,79,1,-0.180316811,
Q9H568,366,1,-0.30906224,
Q9H5K3,350,1,-0.301884794,
Q9H611,641,1,-0.432424585,
Q9H6B9,360,2,0.386776483,
Q9H6E5,874,1,-0.536946136,
Q9H6R0,707,1,-0.462031548,
Q9H6T0,727,2,0.222143826,
Q9H6Y2,383,1,-0.316688276,
Q9H720,699,1,-0.458442825,
Q9H756,370,1,-0.310856601,
Q9H7F0,1226,1,-0.694849938,
Q9H7M6,989,4,0.797760335,
Q9H7M9,311,1,-0.284389771,
Q9H8H2,851,1,-0.526628558,
Q9H8L6,949,1,-0.570590412,
Q9H8M7,445,1,-0.344500877,
Q9H8T0,292,1,-0.275866554,
Q9H8X2,491,2,0.328011147,
Q9H939,334,3,0.80390494,
Q9H967,626,1,-0.42569573,
Q9H987,977,1,-0.583150941,
Q9H992,704,1,-0.460685777,
Q9H9A6,602,1,-0.414929562,
Q9H9D4,720,1,-0.467863223,
Q9H9P2,273,1,-0.267343338,
Q9H9T3,547,1,-0.390257093,
Q9HA90,598,3,0.685477088,
Q9HAE3,211,1,-0.239530736,
Q9HAI6,301,1,-0.279903868,
Q9HAU8,494,1,-0.366481804,
Q9HAV4,1204,2,0.008166231,
Q9HBA9,442,1,-0.343155106,
Q9HBD1,1191,2,0.013997905,
Q9HBG4,840,2,0.171453116,
Q9HBG7,655,1,-0.43870485,
Q9HBL0,1735,2,-0.230035243,
Q9HBM0,779,1,-0.494330053,
Q9HBM6,251,1,-0.25747435,
Q9HBT7,754,1,-0.483115294,
Q9HBW9,690,1,-0.454405512,
Q9HC38,313,1,-0.285286952,
Q9HCE9,1232,1,-0.69754148,
Q9HCH5,934,3,0.534750732,
Q9HCJ5,1215,1,-0.689915444,
Q9HCL2,828,2,0.176836201,
Q9HCQ5,603,2,0.277769029,
Q9HCS5,686,3,0.646001138,
Q9HCS7,855,3,0.570189369,
Q9HCU8,107,1,-0.19287734,
Q9HCZ1,680,1,-0.449919609,
Q9HD20,1204,6,1.106778519,
Q9HD42,196,1,-0.232801881,
Q9NNX1,390,2,0.373318772,
Q9NP78,766,1,-0.488498378,
Q9NP87,494,1,-0.366481804,
Q9NPG4,1184,1,-0.676009143,
Q9NPH2,558,1,-0.395191586,
Q9NPJ1,570,1,-0.400574671,
Q9NPL8,285,1,-0.272726422,
Q9NPP4,1024,1,-0.604234688,
Q9NPR2,832,1,-0.518105341,
Q9NQ29,371,2,0.381841989,
Q9NQ69,397,1,-0.322968541,
Q9NQC8,304,1,-0.281249639,
Q9NQX5,325,1,-0.290670036,
Q9NQZ7,604,2,0.277320438,
Q9NR20,520,1,-0.378145153,
Q9NR33,117,1,-0.197363244,
Q9NR63,512,1,-0.374556431,
Q9NR64,748,1,-0.480423752,
Q9NR96,1032,2,0.08532377,
Q9NR97,1041,1,-0.611860724,
Q9NR99,2828,2,-0.720344492,
Q9NRI5,854,3,0.57063796,
Q9NRM1,1142,1,-0.657168349,
Q9NRN7,309,1,-0.28349259,
Q9NRP7,1315,2,-0.041627298,
Q9NRR6,644,1,-0.433770356,
Q9NRW7,570,1,-0.400574671,
Q9NS23,344,1,-0.299193252,
Q9NS61,270,1,-0.265997567,
Q9NS98,782,2,0.197471357,
Q9NSA0,550,2,0.301544317,
Q9NSB2,600,1,-0.414032381,
Q9NT22,766,5,1.120939534,
Q9NTG7,399,1,-0.323865721,
Q9NTJ5,587,1,-0.408200707,
Q9NTX5,307,1,-0.28259541,
Q9NU19,505,1,-0.371416298,
Q9NU23,88,1,-0.184354124,
Q9NU39,408,2,0.365244146,
Q9NUD7,363,2,0.385430712,
Q9NUL3,570,1,-0.400574671,
Q9NUL7,540,1,-0.38711696,
Q9NUQ6,558,2,0.297955594,
Q9NUX5,634,3,0.669327836,
Q9NV58,838,1,-0.520796883,
Q9NV79,361,1,-0.306819288,
Q9NVH1,559,2,0.297507004,
Q9NVI7,634,1,-0.429284453,
Q9NVL1,165,1,-0.21889558,
Q9NVT9,282,1,-0.271380651,
Q9NVX7,518,1,-0.377247973,
Q9NWM0,555,2,0.299301365,
Q9NWT6,349,1,-0.301436204,
Q9NXB0,559,2,0.297507004,
Q9NXE4,827,1,-0.51586239,
Q9NXG2,353,1,-0.303230566,
Q9NXG6,502,3,0.728541762,
Q9NXL9,1143,4,0.728677422,
Q9NXW9,302,1,-0.280352458,
Q9NY12,217,1,-0.242222278,
Q9NY46,2000,1,-1.042058866,
Q9NYB5,712,1,-0.4642745,
Q9NYG2,299,1,-0.279006687,
Q9NYW8,714,2,0.2279755,
Q9NYZ2,338,1,-0.29650171,
Q9NZ53,605,2,0.276871848,
Q9NZ71,1219,2,0.001437375,
Q9NZB2,1118,2,0.046745,
Q9NZC7,414,1,-0.330594577,
Q9NZI2,227,2,0.446438999,
Q9NZI6,479,1,-0.359752949,
Q9NZL4,362,2,0.385879302,
Q9NZN4,543,2,0.304684449,
Q9NZV7,527,1,-0.381285286,
Q9NZW5,540,2,0.30603022,
Q9P086,117,1,-0.197363244,
Q9P0I2,261,1,-0.261960254,
Q9P0L1,754,1,-0.483115294,
Q9P0L9,805,1,-0.505993402,
Q9P218,1284,2,-0.027720997,
Q9P232,1028,2,0.087118131,
Q9P272,454,1,-0.34853819,
Q9P278,1114,3,0.45400447,
Q9P287,314,1,-0.285735542,
Q9P2D6,1515,3,0.274119741,
Q9P2E5,772,1,-0.491189921,
Q9P2G3,628,1,-0.426592911,
Q9P2J2,1179,1,-0.673766191,
Q9P2J9,529,1,-0.382182466,
Q9P2K6,505,3,0.727195991,
Q9P2N6,904,1,-0.550403846,
Q9UBC1,381,1,-0.315791095,
Q9UBD9,225,1,-0.245811001,
Q9UBG0,1479,1,-0.808343295,
Q9UBG7,517,1,-0.376799382,
Q9UBM8,478,1,-0.359304359,
Q9UBN6,386,2,0.375113134,
Q9UBV7,327,1,-0.291567217,
Q9UBW5,565,3,0.70028057,
Q9UBW7,1377,1,-0.76258708,
