Entry	Cross-reference (eggNOG)
Q9UPX6	ENOG410IFF3;ENOG410ZD1X;
Q6NSJ0	KOG1065;COG1501;
Q9ULG3	ENOG410J2PC;ENOG4112AA9;
Q9P272	KOG1331;COG0500;
Q3SXP7	ENOG410IJIJ;ENOG410Y76U;
Q5JYT7	ENOG410IPNG;ENOG41114VC;
P08779	ENOG410IFTF;ENOG410Y9IV;
Q04695	ENOG410IFTF;ENOG410Y9IV;
P05783	ENOG410IEYR;ENOG4111DJ8;
Q7Z3Y8	ENOG410IFTF;ENOG410Y9IV;
Q14532	ENOG410IJCJ;ENOG410YK2A;
Q0VF49	ENOG410IQDB;ENOG410Y0AJ;
Q5QGS0	ENOG410IFSY;ENOG410XSAZ;
P48668	ENOG410IG4R;ENOG410YY6B;
P05787	ENOG410IG4R;ENOG410YY6B;
Q8IZA0	ENOG410IFQB;ENOG410XQ5Y;
Q68EN5	ENOG410IGSS;ENOG410YKC2;
Q9Y3D8	
Q96MA6	KOG3078;COG0563;
P29622	KOG2392;COG4826;
Q86T24	KOG1721;COG5048;
O60229	
P10644	KOG1113;COG0664;
Q92830	KOG1472;COG5076;
Q9BW62	KOG0738;ENOG410XPN7;
O75600	
Q8WVZ9	ENOG410IJ96;ENOG4110S2H;
Q14722	KOG1575;COG0667;
Q13557	KOG0033;ENOG410XNRX;
Q13555	KOG0033;ENOG410XNRX;
Q96CX2	KOG2723;ENOG410Z155;
Q9UIX4	KOG3713;COG1226;
Q9UQ05	KOG0498;ENOG410XPSE;
Q9Y2U2	KOG1418;COG1226;
Q9H2S1	KOG3684;ENOG410XT9D;
Q9UGI6	KOG3684;ENOG410XT9D;
O15554	KOG3684;ENOG410XT9D;
Q9ULS6	KOG3713;COG1226;
Q5JUK3	KOG3193;ENOG410XSMA;
P12532	KOG3581;COG3869;
Q719H9	KOG2723;ENOG410Z155;
Q8WVF5	KOG2723;ENOG410Z155;
Q8NAX2	ENOG410IKUD;ENOG4111J7A;
O14879	KOG1124;COG0457;
Q13325	KOG1124;COG0457;
Q8IZI9	ENOG410J0IH;ENOG410ZDRD;
Q6B9Z1	ENOG410JE04;ENOG41117SS;
P01877	
P01860	
P0CF74	
A6NGN9	ENOG410KD5S;ENOG41102WA;
Q5DX21	ENOG410IJM9;ENOG410Y8CN;
A1L1A6	ENOG410J23I;ENOG41118KY;
O14920	KOG4250;ENOG410XRMU;
Q13422	KOG1721;COG5048;
Q8WWZ1	ENOG410IWY5;ENOG41118N6;
Q9NYY1	ENOG410IW76;ENOG410YMTB;
Q9H293	ENOG410IHJ5;ENOG4111VTD;
Q9NPH9	ENOG410IW3K;ENOG410ZCBR;
P14784	ENOG410II5H;ENOG410YXT9;
Q9UHA7	ENOG410JBMR;ENOG41118FS;
Q01344	ENOG410IJ36;ENOG4111ZG2;
Q12905	KOG3793;ENOG410XQCJ;
Q12906	KOG3792;ENOG410XPBY;
Q17R60	ENOG410IH0G;ENOG410Y9FF;
Q9BZV3	ENOG410IH0G;ENOG410Y9FF;
Q6PI98	
C9JVW0	ENOG410J36D;ENOG4112DD0;
Q3KP66	KOG3529;ENOG410XQFP;
Q9NRR6	KOG0565;COG5411;
Q9BT40	KOG0565;COG5411;
P51460	ENOG410J0IS;ENOG411140J;
Q14641	ENOG410KIDP;ENOG4110QC4;
Q9Y5Q6	ENOG410J4WA;ENOG410YMTH;
F8WCM5	ENOG410IZ9B;ENOG41115QQ;
P14616	KOG1095;KOG4258;COG0515;
Q9Y2B9	ENOG410J1ME;ENOG410ZDGT;
Q96PQ5	
Q15051	KOG0160;COG5022;
Q8N6M8	ENOG410JAMG;ENOG41118H0;
A8MYZ5	ENOG410J1A3;ENOG411197A;
Q9BUE6	KOG1120;COG0316;
P00995	KOG3649;ENOG410YC3T;
Q96A47	KOG0490;ENOG410YIJ3;
Q96AB3	
Q00978	ENOG410IECM;ENOG4111AEC;
Q8WZA9	ENOG410IH4F;ENOG41114NV;
O14654	ENOG410IXEK;ENOG410Z9EP;
Q6IE38	ENOG410JFV9;ENOG41119H9;
O60575	KOG3649;ENOG410YC3T;
Q6UWN8	KOG3649;ENOG410YC3T;
P0C7L1	ENOG410JF12;ENOG41117RR;
P61371	KOG0490;ENOG410YIJ3;
P56199	ENOG410IPB7;ENOG410YEM8;
P17301	ENOG410IPB9;ENOG4110534;
P26006	ENOG410IPB6;ENOG410ZZD8;
P13612	ENOG410IPB2;ENOG410XTAR;
P16144	KOG1226;ENOG410XP60;
P18084	KOG1226;ENOG410XP60;
P26012	KOG1226;ENOG410XP60;
O95965	KOG1226;ENOG410XP60;
Q6UXX5	ENOG410IEJB;COG2304;
Q8WWA0	ENOG410IGEB;ENOG4110R6N;
P26440	KOG0141;ENOG410XNMY;
Q92833	ENOG410ISPM;ENOG410YJEB;
Q9P266	ENOG410IEJ0;ENOG4110T3P;
Q8WYK2	KOG1414;ENOG4111CH5;
Q13387	KOG3775;ENOG410ZFRJ;
O60271	KOG2077;ENOG410XQ19;
Q6NYC1	KOG2130;ENOG410XQCR;
Q96JJ6	KOG0231;COG4642;
Q96MG2	ENOG410J9EZ;ENOG4111EBH;
P17275	KOG0837;ENOG410XRWH;
Q6ZU52	ENOG410IF1K;ENOG410YMCP;
O94854	ENOG410IREM;ENOG410YPF6;
P59773	ENOG410IY4A;ENOG4111YKQ;
Q6NV74	ENOG410IIB6;ENOG410YAR8;
Q6UXG2	ENOG410IR78;ENOG410ZI6Z;
Q9P260	ENOG410IUDI;ENOG410Y5MU;
Q9HCM3	ENOG410IFU4;ENOG410XX42;
Q9HCI6	ENOG410IJ0S;ENOG410ZI9G;
Q9H0B3	ENOG410IEXS;ENOG41118PW;
Q96PY0	
P35900	ENOG410IVBB;ENOG410YGAC;
Q7Z3Z0	ENOG410IFTF;ENOG410Y9IV;
P35908	ENOG410IJPR;ENOG410XWGZ;
Q14678	KOG0514;COG0666;
P17612	KOG0616;ENOG410XPQQ;
Q92794	KOG2747;COG5027;
Q674X7	KOG0249;ENOG410XP8Z;
Q8NAB2	KOG4441;ENOG410XNX8;
Q86V97	ENOG410JAC8;ENOG4110S2H;
P48729	
P49674	KOG1164;ENOG410XPGP;
Q9Y6M4	KOG1165;ENOG410XNXP;
Q16322	KOG1545;COG1226;
P53990	KOG2027;ENOG410YG52;
Q13683	ENOG410IPBB;ENOG410XVGZ;
P53708	KOG3637;ENOG410XPVZ;
Q13349	ENOG410IPBA;ENOG410ZFBE;
P38570	ENOG410IPAZ;ENOG410XR7I;
P20701	KOG3637;ENOG410XPVZ;
P20702	ENOG410IPBA;ENOG410ZFBE;
P05556	KOG1226;ENOG410XP60;
P05107	KOG1226;ENOG410XP60;
P05106	KOG1226;ENOG410XP60;
O14713	ENOG410IFN6;ENOG4111GWT;
P15884	KOG3910;ENOG410XYUA;
P19823	ENOG410IEJB;COG2304;
Q86UX2	ENOG410IEJB;COG2304;
Q8WWU7	ENOG410IGEB;ENOG4110R6N;
Q9Y287	KOG4681;ENOG410XRNN;
Q9NQX7	KOG4681;ENOG410XRNN;
Q14571	KOG3533;ENOG410XR97;
Q9Y624	ENOG410IWUE;ENOG410YHHV;
Q86YT9	ENOG410IKEA;ENOG4111DWB;
Q86VZ6	KOG4124;COG5189;
Q5VZ66	ENOG410II6X;ENOG4110F4A;
P54819	KOG3078;COG0563;
Q9UIJ7	KOG3078;COG0563;
Q9Y6K8	KOG3079;COG0563;
Q5TCS8	KOG3078;KOG3079;COG0563;
Q6NY19	KOG0514;COG0666;
Q9H9L4	ENOG410II1C;ENOG4110KNV;
P13861	KOG1113;COG0664;
Q92831	KOG1472;COG5076;
Q13303	KOG1575;COG0667;
Q14012	KOG0032;ENOG410XRMJ;
Q96NX5	KOG0032;ENOG410XRMJ;
Q16566	KOG0032;ENOG410XRMJ;
Q6ZWJ8	
P12277	KOG3581;COG3869;
P17540	KOG3581;COG3869;
P30085	KOG3079;COG0563;
Q6UW63	KOG2458;ENOG410XT5U;
Q8NB78	KOG0029;ENOG410XSNC;
Q7LBC6	KOG1356;ENOG410XTAA;
B2RXH2	KOG0958;ENOG410XP0T;
P40933	ENOG410IZ5D;ENOG41119SX;
Q9NZH7	ENOG410JCFD;ENOG41118F0;
O15131	KOG0166;COG5064;
O60684	KOG0166;COG5064;
P12268	KOG2550;COG0516;COG0517;
Q96T52	KOG1568;COG0681;
P57087	ENOG410IDXS;ENOG41100KX;
Q15652	KOG1356;ENOG410XTAA;
Q96N16	ENOG410II6X;ENOG4110F4A;
P0C870	KOG2508;ENOG410YDQ9;
Q15040	KOG2934;ENOG4111I4J;
Q8WXH2	KOG0231;COG4642;
Q9UK76	ENOG410J50B;ENOG410YZCR;
Q7Z7F0	ENOG410IT0P;ENOG4111JYD;
Q9ULL0	ENOG410IEFJ;ENOG4111CR0;
Q86T90	ENOG410IEB0;ENOG4111J99;
A8MWY0	ENOG410IR7A;ENOG410XVXU;
Q9HCM1	ENOG410IKK4;ENOG41119UF;
Q01546	ENOG410IKBD;ENOG4111UGN;
P19013	ENOG410IGG3;ENOG410ZE7B;
P13647	ENOG410IG4R;ENOG410YY6B;
P04259	ENOG410IG4R;ENOG410YY6B;
Q14CN4	ENOG410IQKP;ENOG4111AD7;
Q7RTS7	ENOG410IQKP;ENOG4111AD7;
Q5XKE5	ENOG410IEK5;ENOG410XUTQ;
Q6KB66	ENOG410IGH5;ENOG411183I;
P00568	KOG3079;COG0563;
P27144	KOG3078;COG0563;
Q63ZY3	KOG0514;COG0666;
Q7Z3B3	ENOG410IKZN;ENOG410ZYQQ;
P22612	KOG0616;ENOG410XPQQ;
Q9GZV4	KOG3271;COG0231;
Q9H496	ENOG410IWR7;ENOG41116VC;
Q9H7X7	ENOG410IVWX;ENOG4111FYS;
Q8IYA8	ENOG410IH7Y;ENOG410YHF5;
Q6NXR0	ENOG410IJSM;ENOG41125KF;
O00221	KOG0504;COG0666;
O00505	KOG0166;COG5064;
P52294	KOG0166;COG5064;
P80217	ENOG410IZG7;ENOG4111RNW;
Q8NBZ0	ENOG410IIN3;ENOG4111S1J;
P17181	ENOG410IKIP;ENOG4111QEU;
P48551	ENOG410IHB9;ENOG410YTXY;
Q0VD86	ENOG410IVSD;ENOG4111D98;
Q9NQS7	KOG4456;ENOG410XRQ9;
P08476	KOG3900;ENOG410XT8Z;
P55103	KOG3900;ENOG410XT8Z;
Q9NPH2	KOG0693;COG1260;
P35568	ENOG410IXEK;ENOG410Z9EP;
Q9Y4H2	ENOG410IXEK;ENOG410Z9EP;
P27352	ENOG410IVBN;ENOG410XSU1;
Q6UW32	ENOG410J25W;ENOG4111400;
Q13478	ENOG410IH1W;ENOG410ZKHN;
P01583	ENOG410JAAI;ENOG411151X;
Q9HBE5	ENOG410IEDJ;ENOG41128NP;
Q9HBE4	ENOG410IWTD;ENOG411198G;
P01589	ENOG410J24B;ENOG41116U7;
P10145	ENOG410J24U;ENOG410Z1BP;
Q8NI35	KOG0708;KOG3528;ENOG4110362;
Q01101	KOG3993;ENOG4111MVC;
P06213	KOG4258;COG0515;
P48200	KOG0452;COG1048;
Q92985	ENOG410IWNR;ENOG4111G85;
A1A4Y4	ENOG410J94V;ENOG4111A9F;
Q9NP60	ENOG410IF3G;ENOG4110Z8K;
Q9BZI1	KOG0773;ENOG410XPMQ;
Q1W4C9	KOG3649;ENOG410YC3T;
Q9NQ38	ENOG410IP0D;ENOG4111TR7;
Q96CN7	KOG4044;ENOG4111I3F;
Q96J02	KOG0940;COG5021;
P19827	ENOG410IEJB;COG2304;
Q06033	ENOG410IEJB;COG2304;
Q14624	ENOG410IEJB;COG2304;
Q08881	KOG0197;COG0515;
Q15811	KOG1029;KOG4305;COG5422;
Q9NZM3	KOG1029;KOG4305;COG5422;
Q6UXV1	ENOG410IWA5;ENOG41113FF;
Q1ZYL8	ENOG410J9T0;ENOG41116R4;
Q9NQC1	KOG0954;COG5141;
P23458	KOG0197;COG0515;
O60674	KOG0197;COG0515;
Q9NTI7	ENOG410IF94;ENOG4111HME;
O95050	ENOG410IFTZ;ENOG41128ZR;
O15327	KOG4428;ENOG410YV83;
Q9Y5U4	KOG4363;ENOG410XQ2M;
Q5TA45	KOG1137;COG1236;
Q9Y283	KOG0504;COG0666;
P23677	KOG1621;ENOG410Y8AC;
Q96DU7	KOG1621;ENOG410Y8AC;
O94829	KOG2022;ENOG410XT8Y;
O00410	KOG2171;ENOG410XQAJ;
P41236	KOG4041;ENOG4111SYV;
O14990	
Q9H2U2	KOG1626;COG0221;
A6NCM1	
A0A1B0GVH7	
Q6DN90	KOG0931;COG5307;
O43187	KOG1187;COG0515;
Q9NWZ3	KOG1187;COG0515;
P14316	ENOG410IGY9;ENOG411152R;
Q14653	ENOG410IXD8;ENOG410YA4B;
Q13568	ENOG410IFCV;ENOG410XRXT;
A6NK06	ENOG410IEAF;COG2079;
P78415	KOG0773;ENOG410XPMQ;
P78411	KOG0773;ENOG410XPMQ;
Q86U28	KOG1119;COG0316;
Q6UXK2	KOG0619;COG4886;
O75578	KOG3637;ENOG410XPVZ;
P18564	KOG1226;ENOG410XP60;
P26010	KOG1226;ENOG410XP60;
Q9UKP3	KOG1667;ENOG410XPV6;
Q9BX67	
Q8TAC2	KOG2934;ENOG4111I4J;
Q9H910	ENOG410IY2U;ENOG4111V7S;
Q15053	
Q8IV33	ENOG410JAB6;ENOG4111D4J;
Q6ZU35	ENOG410IIMH;ENOG41101DD;
Q6ZVL6	ENOG410IVCV;ENOG410ZTDZ;
Q96T92	KOG3993;ENOG4111MVC;
Q9NVH2	KOG1988;ENOG410XSMR;
Q9ULD6	ENOG410IHJH;ENOG410XR9C;
Q6GPH6	ENOG410IKQ2;ENOG4111BJ6;
Q9UI26	KOG1993;COG5657;
O95373	KOG1991;COG5656;
Q9H8X2	KOG4749;ENOG410XSF2;
Q96DY2	ENOG410IF8Y;ENOG410XT1P;
A8MTL0	ENOG410JBZB;ENOG41113UA;
P46940	KOG2128;COG5261;
P10914	ENOG410IER3;ENOG4111HM7;
Q15306	ENOG410IES5;ENOG411023V;
O14896	ENOG410IFCV;ENOG410XRXT;
Q02556	ENOG410IED8;ENOG410XNYR;
P05161	KOG0001;COG5272;
P20155	ENOG410IP08;ENOG410ZF57;
O14498	KOG0619;COG4886;
B1AKI9	ENOG410IE9A;ENOG410XT8R;
Q6H9L7	ENOG410IE9A;ENOG410XT8R;
Q13572	ENOG410IHA6;ENOG4110KIK;
Q14643	KOG3533;ENOG410XR97;
Q14573	KOG3533;ENOG410XR97;
Q6PHW0	KOG3936;COG0778;
Q6IE81	KOG0954;COG5141;
Q8N5M9	KOG4054;ENOG4111GU8;
P52333	KOG0197;COG0515;
Q8IY47	KOG4441;ENOG410XNX8;
Q8NFY9	KOG4441;ENOG410XNX8;
Q8N752	KOG1164;ENOG410XPGP;
O43448	KOG1575;COG0667;
Q8IU85	KOG0032;ENOG410XRMJ;
Q693B1	KOG2723;ENOG410Z155;
Q9UJ90	ENOG410JC0Y;ENOG4111A5J;
Q8TAE7	KOG3713;COG1226;
Q12809	KOG0498;ENOG410XPSE;
P48549	KOG3827;ENOG410XQ62;
P48051	KOG3827;ENOG410XQ62;
Q9NPC2	KOG4404;ENOG410XRZJ;
Q9HB15	KOG4404;ENOG410XRZJ;
Q9HB14	KOG4404;ENOG410XRZJ;
Q7Z418	KOG1418;COG1226;
O43526	KOG1419;COG1226;
Q96SY0	ENOG410IF13;ENOG410XP9S;
Q6P9B9	ENOG410IHRN;ENOG4110473;
Q92813	
Q9UHH9	KOG1620;ENOG410YB60;
Q3MIP1	ENOG410IFXY;ENOG4111FAS;
P61925	ENOG410J11W;ENOG410YT4B;
Q8TEX9	ENOG410IQKY;ENOG410XP2Z;
Q9Y573	KOG4441;ENOG410XNX8;
Q8IWB1	ENOG410IFEJ;ENOG4110247;
Q8IXL9	ENOG410IXIB;ENOG4111BID;
Q9H095	ENOG410IFH5;ENOG410ZKIR;
Q1A5X6	ENOG410J0SC;ENOG410YSGH;
Q9NZN1	ENOG410IF3G;ENOG4110Z8K;
P78414	KOG0773;ENOG410XPMQ;
P78413	KOG0773;ENOG410XPMQ;
Q96AZ6	KOG2249;COG0847;
Q9ULR0	KOG3068;ENOG410XPPC;
Q96PW8	
Q99456	ENOG410IFTF;ENOG410Y9IV;
P08727	ENOG410IFTF;ENOG410Y9IV;
Q9C075	ENOG410IK9C;ENOG4111DWD;
Q6A163	ENOG410IIZN;ENOG4111DA1;
Q15323	ENOG410IF9P;ENOG410YK2A;
Q5HYC2	ENOG410IIP1;ENOG410YKW1;
P04264	ENOG410IG4R;ENOG410YY6B;
P02538	ENOG410IG4R;ENOG410YY6B;
Q3SY84	ENOG410IQKP;ENOG4111AD7;
Q86Y46	ENOG410IQKP;ENOG4111AD7;
O95678	ENOG410IG4R;ENOG410YY6B;
Q9Y4A0	KOG3105;ENOG4110CDI;
Q5VV43	ENOG410IFQB;ENOG410XQ5Y;
Q6ICG6	KOG2465;ENOG410ZRJN;
Q9UPP5	ENOG410IFU8;ENOG4111MST;
Q96AT1	ENOG410J2M5;ENOG411289D;
Q9P206	ENOG410IMX5;ENOG410YI5V;
Q5VZ46	ENOG410IEUQ;ENOG411288M;
Q9BY89	ENOG410IFQ8;ENOG4111YBN;
Q6NSI8	ENOG410IF15;ENOG410XP9V;
Q8N8K9	ENOG410IHMV;ENOG410XWKQ;
P13645	ENOG410IGJX;ENOG410YDXS;
P13646	ENOG410IFTF;ENOG410Y9IV;
P02533	ENOG410IFTF;ENOG410Y9IV;
Q7Z3Y9	ENOG410JA2D;ENOG4111D4X;
Q7Z3Y7	ENOG410IFTF;ENOG410Y9IV;
P12035	ENOG410IKBD;ENOG4111UGN;
Q5T7N3	KOG0514;COG0666;
Q9P2N6	KOG3253;ENOG410XSH5;
P31321	KOG1113;COG0664;
Q8N6L0	ENOG410IWIE;ENOG4111U72;
Q6YP21	KOG0257;COG0436;
Q9NYS0	KOG3883;ENOG4110VES;
Q9NYR9	KOG3883;ENOG4110VES;
Q9NVX7	KOG4441;ENOG410XNX8;
C9JR72	KOG1072;ENOG4110X8D;
P48730	KOG1164;ENOG410XPGP;
Q9HCP0	KOG1165;ENOG410XNXP;
Q6P2M8	KOG0032;ENOG410XRMJ;
Q14500	KOG3827;ENOG410XQ62;
Q99712	KOG3827;ENOG410XQ62;
Q16558	ENOG410IWME;ENOG41116AX;
Q9NPA1	ENOG410IF7H;ENOG410YQCT;
Q96PR1	KOG3713;COG1226;
Q03721	KOG3713;COG1226;
Q9ULD8	KOG0498;ENOG410XPSE;
Q8NCM2	KOG0498;ENOG410XPSE;
A8MYU2	KOG1420;ENOG410YUX1;
Q6PIU1	KOG3713;COG1226;
Q53RY4	ENOG410IHY0;ENOG4111KTC;
Q9H478	
Q9NXV2	KOG2715;ENOG410XT4J;
Q9Y2K7	KOG1633;KOG1947;ENOG410XQXU;
Q8NHM5	KOG1633;KOG1947;ENOG410XQXU;
O75164	ENOG410IT40;COG5141;
Q9H3R0	ENOG410IT40;COG5141;
Q6B0I6	KOG0958;ENOG410XP0T;
P29375	KOG1246;ENOG410XR9J;
Q9BY66	KOG1246;ENOG410XR9J;
O15550	KOG1124;KOG1246;COG0457;
Q6ZMT4	KOG1633;ENOG410XQXU;
Q63HM1	KOG4627;COG0657;
Q13237	KOG0616;ENOG410XPQQ;
Q587J8	ENOG410J966;ENOG410XPG5;
Q07666	KOG1588;COG5176;
O15037	KOG3777;ENOG410ZNK1;
Q8NI77	KOG0242;COG5059;
Q8N109	
P46013	ENOG410JR7C;ENOG410ZXYW;
Q2VIQ3	KOG0244;COG5059;
Q12840	KOG0240;COG5059;
Q6ZMV9	KOG4280;COG5059;
Q2M1P5	KOG0244;COG5059;
Q9BVG8	KOG0239;COG5059;
Q03426	KOG1511;COG1577;
Q8IZU9	KOG3510;ENOG410XPX0;
Q15726	ENOG410IYVQ;ENOG41118MU;
O00142	KOG4235;COG1428;
O15503	KOG4363;ENOG410XQ2M;
P01308	ENOG410J0XC;ENOG4111VJB;
Q9NVR2	ENOG410IFMP;ENOG410XPP7;
P27987	KOG1621;ENOG410Y8AC;
Q92551	KOG1620;ENOG410YB60;
Q96PC2	ENOG410IPEQ;ENOG4111UCF;
Q8NFU5	KOG1620;ENOG410YHQ3;
Q8N0W5	ENOG410IK7E;ENOG4111M9I;
Q5JU85	KOG0931;COG5307;
Q86VI3	KOG2128;COG5261;
Q8NA54	ENOG410IEKT;ENOG4111FX1;
P51617	KOG1187;COG0515;
Q9UKX5	ENOG410IPB8;ENOG410YTFZ;
P08514	KOG3637;ENOG410XPVZ;
P08648	KOG3637;ENOG410XPVZ;
P23229	ENOG410IPBB;ENOG410XVGZ;
Q13797	KOG3637;ENOG410XPVZ;
P11215	ENOG410IPBA;ENOG410ZFBE;
P06756	ENOG410IPB5;ENOG410YR19;
Q969R8	ENOG410IEQ3;ENOG410XPME;
O43736	KOG4681;ENOG410XRNN;
Q96ST2	KOG1793;COG5139;
Q5VZ72	ENOG410J01E;ENOG41115QJ;
Q9UQF2	KOG3775;ENOG410ZFRJ;
Q68DU8	KOG2723;ENOG410Z155;
Q6PI47	KOG2723;ENOG410Z155;
P22460	KOG1545;COG1226;
Q9H3M0	KOG3713;COG1226;
Q9UJ96	KOG3713;COG1226;
O95259	KOG0498;ENOG410XPSE;
Q9NS40	KOG0498;ENOG410XPSE;
P48048	KOG3827;ENOG410XQ62;
P48544	KOG3827;ENOG410XQ62;
O00180	KOG1418;COG1226;
Q96T55	KOG1418;COG1226;
O43525	KOG1419;COG1226;
Q9NR82	KOG1419;COG1226;
Q14681	KOG2715;ENOG410XT4J;
Q8NC69	KOG2723;ENOG410Z155;
Q13976	
O75525	KOG1588;COG5176;
Q9H1H9	KOG0245;COG5059;
Q96L93	KOG0245;COG5059;
Q9ULI4	KOG4280;COG5059;
Q8NHK3	
P43631	
P43630	ENOG410JAMM;ENOG410ZT7K;
Q14943	ENOG410JAMM;ENOG410ZT7K;
Q9Y6Z4	
Q96FN5	KOG4280;COG5059;
Q15058	KOG0245;COG5059;
Q9P2E2	KOG4280;COG5059;
Q02241	KOG0247;COG5059;
B7ZC32	
Q8N4N8	KOG0246;COG5059;
Q92845	KOG1222;ENOG410XT8I;
P10721	KOG0200;COG0515;
Q07866	KOG1840;COG0457;
Q9H0B6	KOG1840;COG0457;
Q96G42	KOG1072;ENOG4110X8D;
Q8IXV7	KOG1072;ENOG4110X8D;
Q9Y2U9	KOG0379;ENOG410Y5WM;
O14901	KOG1721;COG5048;
O75840	KOG1721;COG5048;
Q13886	KOG1721;COG5048;
Q9NVR0	KOG1072;ENOG4110X8D;
Q9P2N7	KOG4441;ENOG410XNX8;
Q6TDP4	KOG4441;ENOG410XNX8;
Q8N4N3	KOG4441;ENOG410XNX8;
O60662	KOG4441;ENOG410XNX8;
Q9P2J3	KOG4441;ENOG410XNX8;
O43240	KOG3627;COG5640;
P07288	KOG3627;COG5640;
Q9Y337	KOG3627;COG5640;
Q86Z14	KOG0626;COG2723;
Q13241	KOG4297;ENOG410XPJ1;
D3W0D1	KOG4297;ENOG410XPJ1;
Q4FZB7	KOG2589;ENOG410XPH8;
P46020	KOG3635;ENOG410XPJZ;
O75564	
Q9UPT6	KOG2077;ENOG410XQ19;
P23352	KOG4802;ENOG4111T0F;
Q16773	KOG0257;COG0436;
O95251	KOG2747;COG5027;
Q96EK5	ENOG410IE53;ENOG410XSW1;
O94819	KOG1072;ENOG4110X8D;
Q3ZCT8	KOG4441;ENOG410XNX8;
P78368	KOG1165;ENOG410XNXP;
Q7Z5Y7	ENOG410ISJ3;ENOG410YA9I;
O60928	KOG3827;ENOG410XQ62;
Q9NPI9	KOG3827;ENOG410XQ62;
B7U540	KOG3827;ENOG410XQ62;
Q86W47	ENOG410IJVB;ENOG410XSTD;
Q09470	KOG1545;COG1226;
P16389	KOG1545;COG1226;
P22001	KOG1545;COG1226;
Q9UK17	KOG4390;COG1226;
P15382	ENOG410IY71;ENOG410Y1SF;
Q9Y6J6	ENOG410IX4Y;ENOG411297Y;
Q7Z4H8	KOG2458;ENOG410XT5U;
O94953	ENOG410IT40;COG5141;
Q96Q89	KOG0247;COG5059;
P52732	KOG0243;COG5059;
Q9NS87	KOG4280;COG5059;
Q2TAC6	KOG0242;COG5059;
Q12756	KOG0245;COG5059;
O60333	KOG0245;COG5059;
Q14807	KOG0242;COG5059;
Q5T7B8	KOG0246;COG5059;
Q9BW19	KOG0239;COG5059;
B2CW77	ENOG410KC85;ENOG4110P8F;
P05129	KOG0694;ENOG410XNPH;
P60331	ENOG410JH3R;ENOG4111BSI;
P60369	ENOG410JNRG;ENOG41116YF;
P60412	ENOG410JNRG;ENOG41116YF;
P59990	KOG4726;ENOG410XY8D;
P60329	KOG4726;ENOG410XY8D;
Q3LI77	ENOG410J2YJ;ENOG41119RP;
Q3LI58	
Q3LHN1	ENOG410KCK1;ENOG4110NVV;
A1A580	ENOG410JJWC;ENOG4111BQ3;
Q6PEX3	ENOG410J10U;ENOG41113EF;
Q07627	KOG4726;ENOG410XY8D;
Q9BYR9	KOG4726;ENOG410XY8D;
Q9BYR7	KOG4726;ENOG410XY8D;
Q9BYR6	KOG4726;ENOG410XY8D;
C9JBD0	KOG1721;COG5048;
P51812	KOG0598;ENOG410XNPH;
P43405	ENOG410IH0T;COG0515;
Q8N5Z5	
A0A087WTH5	ENOG410IY71;ENOG410Y1SF;
Q6PIL6	KOG0044;COG5126;
P78508	KOG3827;ENOG410XQ62;
Q14654	KOG3827;ENOG410XQ62;
P22459	KOG1545;COG1226;
Q14003	KOG3713;COG1226;
Q9Y6H6	ENOG410IZ1X;ENOG410XU3Y;
Q9H252	KOG0498;ENOG410XPSE;
P48050	KOG3827;ENOG410XQ62;
Q92806	KOG3827;ENOG410XQ62;
O95069	KOG1418;COG1226;
Q9NYG8	KOG1418;COG1226;
Q9Y257	KOG1418;COG1226;
Q92952	
P51787	KOG1419;COG1226;
Q6UVM3	KOG3193;ENOG410XSMA;
P06732	KOG3581;COG3869;
Q8NC54	ENOG410IJ0E;ENOG410XUUR;
Q6ZWB6	KOG2723;ENOG410Z155;
Q7L273	KOG1665;COG1357;
P23276	KOG3624;COG3590;
Q9NQT8	KOG0245;COG5059;
Q86Y91	KOG0242;COG5059;
Q7Z4S6	KOG0244;COG5059;
Q2KJY2	KOG4280;COG5059;
P43626	ENOG410KCDN;ENOG4110P2R;
P43628	
O43896	KOG0245;COG5059;
O00139	
Q9Y496	KOG4280;COG5059;
O14782	KOG0240;COG5059;
O60282	KOG0240;COG5059;
Q9HAQ2	KOG4280;COG5059;
Q6UWL6	KOG3510;ENOG410XPX0;
Q8N5S9	
Q8NEE0	
Q6P597	KOG1840;COG0457;
Q9NSK0	KOG1840;COG0457;
Q8N7A1	KOG0379;ENOG410Y5WM;
Q8TBB5	KOG1230;ENOG410XPJI;
Q9Y4X4	KOG1721;COG5048;
Q9BXK1	KOG1721;COG5048;
O43474	
O95600	KOG1721;COG5048;
Q9P2G3	KOG4441;ENOG410XNX8;
Q53HC5	KOG4441;ENOG410XNX8;
Q96CT2	KOG4441;ENOG410XNX8;
Q9H511	KOG4441;ENOG410XNX8;
Q9UH77	KOG4441;ENOG410XNX8;
Q8WZ60	KOG4441;ENOG410XNX8;
Q12918	KOG4297;ENOG410XPJ1;
Q96E93	KOG4297;ENOG410XPJ1;
Q8NEZ4	KOG4443;COG2940;
Q9NQR1	KOG1085;COG2940;
Q86Y97	KOG2589;ENOG410XPH8;
P01042	ENOG410IKIQ;ENOG4111ZQ8;
O94806	KOG4236;ENOG410XQZ3;
O60256	KOG1503;COG0462;
P30613	KOG2323;COG0469;
P60014	KOG4726;ENOG410XY8D;
P60413	ENOG410JBGI;ENOG41118FU;
